Product Title,Product URL,Product Image,Old Price,New Price,Discount Price,Discount Percentage
Ultra Hydrating & Nourishing Lip Balm,https://saeedghani.pk/collections/skin-care/products/ultra-hydrating-nourishing-lip-balm,https://saeedghani.pk/cdn/shop/files/Lip-Balm-Web-2_300x.jpg?v=1750941239,,Rs. 350,,
Rose Water Spray,https://saeedghani.pk/collections/skin-care/products/rose-water-spray,https://saeedghani.pk/cdn/shop/files/rose-water_300x.jpg?v=1750941394,,Rs. 200,,
Vitamin C Rose Water Facial Toner,https://saeedghani.pk/collections/skin-care/products/vitamin-c-rose-water,https://saeedghani.pk/cdn/shop/files/Untitled-1_300x.webp?v=1750941406,,Rs. 350,,
Anti Aging Glycerin Rose Water Facial Toner,https://saeedghani.pk/collections/skin-care/products/glycerin-with-rose-water,https://saeedghani.pk/cdn/shop/products/rosewaterg_300x.jpg?v=1750941405,,Rs. 240,,
Premium Rose Water Spray,https://saeedghani.pk/collections/skin-care/products/premium-quality-rose-spray-120ml,https://saeedghani.pk/cdn/shop/files/Rose-Warer-Premium_300x.jpg?v=1750941214,,Rs. 300,,
Glowing Ubtan Powder,https://saeedghani.pk/collections/skin-care/products/glowing-ubtan-pouch-100gm,https://saeedghani.pk/cdn/shop/files/Ubtan_300x.jpg?v=1750941410,,Rs. 350,,
Khas Sandal Ubtan Powder,https://saeedghani.pk/collections/skin-care/products/khas-sandal-ubtan-pouch-100gm,https://saeedghani.pk/cdn/shop/products/whitebackground_741e4586-0a0b-4a8f-8bec-328fcb8fb634_300x.jpg?v=1750941409,,Rs. 300,,
Zafrani Ubtan Pouch,https://saeedghani.pk/collections/skin-care/products/zafrani-ubtan-pouch-100gm,https://saeedghani.pk/cdn/shop/products/Zafran-Ubtan-Pouch-100g_300x.png?v=1750941408,,Rs. 400,,
Cone Mehndi Pack of 3 - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/cone-mehndi-pack-of-3,https://saeedghani.pk/cdn/shop/products/IMG-20210424-WA0029_300x.jpg?v=1750941218,,Rs. 450,,
Cone Mehndi Pack of 6,https://saeedghani.pk/collections/skin-care/products/cone-dulhan-mehndi-pack-of-6,https://saeedghani.pk/cdn/shop/products/SG-Square-10-min_300x.jpg?v=1750941442,,Rs. 900,,
Goat Milk Face Cleanser,https://saeedghani.pk/collections/skin-care/products/goat-milk-face-cleanser-180gm,https://saeedghani.pk/cdn/shop/products/Goat-Milk-Face-Cleanser_300x.jpg?v=1750941419,,Rs. 480,,
Apricot Scrub - Saeed Ghani,https://saeedghani.pk/collections/skin-care/products/apricot-scrub-180gm,https://saeedghani.pk/cdn/shop/products/Apricot-Scrub-180-gm_300x.jpg?v=1750941420,,Rs. 480,,
Whitening Skin Polish,https://saeedghani.pk/collections/skin-care/products/skin-polish-jar-180gm,https://saeedghani.pk/cdn/shop/products/SkinPolishJar_300x.jpg?v=1750941417,,Rs. 450,,
Fruit Face Polish,https://saeedghani.pk/collections/skin-care/products/fruit-face-polish,https://saeedghani.pk/cdn/shop/products/fruitepolish_300x.jpg?v=1750941424,,Rs. 450,,
Mud Mask,https://saeedghani.pk/collections/skin-care/products/mud-mask-180gm,https://saeedghani.pk/cdn/shop/products/mudmask_300x.jpg?v=1750941416,,Rs. 450,,
Charcoal Mask - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/charcoal-mask,https://saeedghani.pk/cdn/shop/products/CharcoalMask180gm_300x.jpg?v=1750941440,,Rs. 450,,
Ready to Use Facial Kit,https://saeedghani.pk/collections/skin-care/products/ready-to-use-facial-kit,https://saeedghani.pk/cdn/shop/files/ReadytoUseFacialKit_300x.jpg?v=1705042283,Rs. 2590,Rs. 2202,Rs. 388,-14%
